km,Engine Displacement,Max Power,No of Cylinder,Mileage,price (lakh),Insurance_Encoded,modelyear_Encoded,owner_Encoded,cylinder_Encoded,oem_Encoded,bt_Encoded,model_Encoded,variantName_Encoded,engine_Encoded,city_Encoded,color_Encoded,seats_Encoded,streeingtype_Encoded,drivetype_Encoded,ft_Encoded,transmission_Encoded,Length,Width,Wheel Base,Cargo Volumn
114981,1497,117.3,4.0,17.8,5.77,2.0,21.0,3.0,3,8,8,63,2099,469,1,102,3,4,6,4,1,4440,1695,2600,510
45000,1199,88.7,4.0,17.5,9.0,2.0,23.0,4.0,3,8,7,69,2116,476,1,119,3,1,6,4,1,3999,1734,2555,363
45416,1197,81.86,4.0,20.7,6.49,2.0,26.0,4.0,3,9,2,78,1640,35,1,119,3,1,6,4,1,3805,1680,2450,267
119468,1197,81.83,4.0,18.6,5.49,1.0,21.0,4.0,3,9,2,90,851,320,1,102,3,4,6,4,1,3985,1734,2570,295
100000,1498,103.2,4.0,21.21,6.5,1.0,20.0,2.0,3,31,8,305,326,381,1,78,3,4,6,1,0,4384,1699,2552,454
119975,1197,88.5,4.0,22.41,5.14,1.0,22.0,4.0,3,20,8,180,1806,278,1,98,3,1,6,4,1,3995,1735,2450,378
19000,1998,252.0,4.0,15.34,39.0,2.0,22.0,4.0,3,1,8,14,686,408,1,119,3,4,8,4,0,4824,1811,2810,480
64906,1197,82.0,4.0,18.9,4.56,2.0,21.0,3.0,3,9,2,77,1333,2,1,102,3,4,6,4,1,3765,1660,2425,256
81484,1197,83.1,4.0,21.4,5.02,2.0,21.0,3.0,3,20,2,157,85,455,1,98,3,4,6,4,1,3995,1745,2520,339
45067,1197,81.8,4.0,21.21,6.85,2.0,23.0,4.0,3,20,8,180,1269,291,1,9,3,4,6,4,1,3995,1735,2450,378
68000,4663,459.0,8.0,7.81,110.0,1.0,23.0,4.0,7,21,8,211,1356,435,1,9,2,4,8,4,0,5453,2130,3365,500
65768,1199,88.7,4.0,18.7,5.8,2.0,21.0,4.0,3,8,2,66,143,476,1,14,3,4,6,4,1,3955,1694,2530,354
